District,Variety,Month,Year
Nanded,Other,May,2019
Nanded,H-4(A) 27mm FIne,May,2019
Nanded,LRA,May,2019
Nanded,N-44,May,2019
Nanded,DCH-32(Unginned),May,2019
Akola,Varaxmi,May,2019
Akola,Desi,May,2019
Akola,Other,May,2019
Akola,H-4(A) 27mm FIne,May,2019
Akola,LRA,May,2019
Akola,N-44,May,2019
Akola,DCH-32(Unginned),May,2019
Aurangabad,Varaxmi,May,2019
Aurangabad,Desi,May,2019
Aurangabad,Other,May,2019
Aurangabad,H-4(A) 27mm FIne,May,2019
Aurangabad,LRA,May,2019
Aurangabad,N-44,May,2019
Aurangabad,DCH-32(Unginned),May,2019
Wardha,Varaxmi,Jun,2019
Wardha,Desi,Jun,2019
Wardha,Other,Jun,2019
Wardha,H-4(A) 27mm FIne,Jun,2019
Wardha,LRA,Jun,2019
Wardha,N-44,Jun,2019
Wardha,DCH-32(Unginned),Jun,2019
Nagpur,Varaxmi,Jun,2019
Nagpur,Desi,Jun,2019
Nagpur,Other,Jun,2019
Nagpur,H-4(A) 27mm FIne,Jun,2019
Nagpur,LRA,Jun,2019
Nagpur,N-44,Jun,2019
Nagpur,DCH-32(Unginned),Jun,2019
Yavatmal,Varaxmi,Jun,2019
Yavatmal,Desi,Jun,2019
Yavatmal,Other,Jun,2019
Yavatmal,H-4(A) 27mm FIne,Jun,2019
Yavatmal,LRA,Jun,2019
Yavatmal,N-44,Jun,2019
Yavatmal,DCH-32(Unginned),Jun,2019
Chandrapur,Varaxmi,Jun,2019
Chandrapur,Desi,Jun,2019
Chandrapur,Other,Jun,2019
Chandrapur,H-4(A) 27mm FIne,Jun,2019
Chandrapur,LRA,Jun,2019
Chandrapur,N-44,Jun,2019
Chandrapur,DCH-32(Unginned),Jun,2019
Parbhani,Varaxmi,Jun,2019
Parbhani,Desi,Jun,2019
Parbhani,Other,Jun,2019
Parbhani,H-4(A) 27mm FIne,Jun,2019
Parbhani,LRA,Jun,2019
Parbhani,N-44,Jun,2019
Parbhani,DCH-32(Unginned),Jun,2019
Amarawati,Varaxmi,Jun,2019
Amarawati,Desi,Jun,2019
Amarawati,Other,Jun,2019
Amarawati,H-4(A) 27mm FIne,Jun,2019
Amarawati,LRA,Jun,2019
Amarawati,N-44,Jun,2019
Amarawati,DCH-32(Unginned),Jun,2019
Jalana,Varaxmi,Jun,2019
Jalana,Desi,Jun,2019
Jalana,Other,Jun,2019
Jalana,H-4(A) 27mm FIne,Jun,2019
Jalana,LRA,Jun,2019
Jalana,N-44,Jun,2019
Jalana,DCH-32(Unginned),Jun,2019
Beed,Varaxmi,Jun,2019
Beed,Desi,Jun,2019
Beed,Other,Jun,2019
Beed,H-4(A) 27mm FIne,Jun,2019
Beed,LRA,Jun,2019
Beed,N-44,Jun,2019
Beed,DCH-32(Unginned),Jun,2019
Buldhana,Varaxmi,Jun,2019
Buldhana,Desi,Jun,2019
Buldhana,Other,Jun,2019
Buldhana,H-4(A) 27mm FIne,Jun,2019
Buldhana,LRA,Jun,2019
Buldhana,N-44,Jun,2019
Buldhana,DCH-32(Unginned),Jun,2019
Nanded,Varaxmi,Jun,2019
Nanded,Desi,Jun,2019
Nanded,Other,Jun,2019
Nanded,H-4(A) 27mm FIne,Jun,2019
Nanded,LRA,Jun,2019
Nanded,N-44,Jun,2019
Nanded,DCH-32(Unginned),Jun,2019
Akola,Varaxmi,Jun,2019
Akola,Desi,Jun,2019
Akola,Other,Jun,2019
Akola,H-4(A) 27mm FIne,Jun,2019
Akola,LRA,Jun,2019
Akola,N-44,Jun,2019
Akola,DCH-32(Unginned),Jun,2019
Aurangabad,Varaxmi,Jun,2019
Aurangabad,Desi,Jun,2019
Aurangabad,Other,Jun,2019
Aurangabad,H-4(A) 27mm FIne,Jun,2019
Aurangabad,LRA,Jun,2019
Aurangabad,N-44,Jun,2019
Aurangabad,DCH-32(Unginned),Jun,2019
Wardha,Varaxmi,Jul,2019
Wardha,Desi,Jul,2019
Wardha,Other,Jul,2019
Wardha,H-4(A) 27mm FIne,Jul,2019
Wardha,LRA,Jul,2019
Wardha,N-44,Jul,2019
Wardha,DCH-32(Unginned),Jul,2019
Nagpur,Varaxmi,Jul,2019
Nagpur,Desi,Jul,2019
Nagpur,Other,Jul,2019
Nagpur,H-4(A) 27mm FIne,Jul,2019
Nagpur,LRA,Jul,2019
Nagpur,N-44,Jul,2019
Nagpur,DCH-32(Unginned),Jul,2019
Yavatmal,Varaxmi,Jul,2019
Yavatmal,Desi,Jul,2019
Yavatmal,Other,Jul,2019
Yavatmal,H-4(A) 27mm FIne,Jul,2019
Yavatmal,LRA,Jul,2019
Yavatmal,N-44,Jul,2019
Yavatmal,DCH-32(Unginned),Jul,2019
Chandrapur,Varaxmi,Jul,2019
Chandrapur,Desi,Jul,2019
Chandrapur,Other,Jul,2019
Chandrapur,H-4(A) 27mm FIne,Jul,2019
Chandrapur,LRA,Jul,2019
Chandrapur,N-44,Jul,2019
Chandrapur,DCH-32(Unginned),Jul,2019
Parbhani,Varaxmi,Jul,2019
Parbhani,Desi,Jul,2019
Parbhani,Other,Jul,2019
Parbhani,H-4(A) 27mm FIne,Jul,2019
Parbhani,LRA,Jul,2019
Parbhani,N-44,Jul,2019
Parbhani,DCH-32(Unginned),Jul,2019
Amarawati,Varaxmi,Jul,2019
Amarawati,Desi,Jul,2019
Amarawati,Other,Jul,2019
Amarawati,H-4(A) 27mm FIne,Jul,2019
Amarawati,LRA,Jul,2019
Amarawati,N-44,Jul,2019
Amarawati,DCH-32(Unginned),Jul,2019
Jalana,Varaxmi,Jul,2019
Jalana,Desi,Jul,2019
Jalana,Other,Jul,2019
Jalana,H-4(A) 27mm FIne,Jul,2019
Jalana,LRA,Jul,2019
Jalana,N-44,Jul,2019
Jalana,DCH-32(Unginned),Jul,2019
Beed,Varaxmi,Jul,2019
Beed,Desi,Jul,2019
Beed,Other,Jul,2019
Beed,H-4(A) 27mm FIne,Jul,2019
Beed,LRA,Jul,2019
Beed,N-44,Jul,2019
Beed,DCH-32(Unginned),Jul,2019
Buldhana,Varaxmi,Jul,2019
Buldhana,Desi,Jul,2019
Buldhana,Other,Jul,2019
Buldhana,H-4(A) 27mm FIne,Jul,2019
Buldhana,LRA,Jul,2019
Buldhana,N-44,Jul,2019
Buldhana,DCH-32(Unginned),Jul,2019
Nanded,Varaxmi,Jul,2019
Nanded,Desi,Jul,2019
Nanded,Other,Jul,2019
Nanded,H-4(A) 27mm FIne,Jul,2019
Nanded,LRA,Jul,2019
Nanded,N-44,Jul,2019
Nanded,DCH-32(Unginned),Jul,2019
Akola,Varaxmi,Jul,2019
Akola,Desi,Jul,2019
Akola,Other,Jul,2019
Akola,H-4(A) 27mm FIne,Jul,2019
Akola,LRA,Jul,2019
Akola,N-44,Jul,2019
Akola,DCH-32(Unginned),Jul,2019
Aurangabad,Varaxmi,Jul,2019
Aurangabad,Desi,Jul,2019
Aurangabad,Other,Jul,2019
Aurangabad,H-4(A) 27mm FIne,Jul,2019
Aurangabad,LRA,Jul,2019
Aurangabad,N-44,Jul,2019
Aurangabad,DCH-32(Unginned),Jul,2019
Wardha,Varaxmi,Aug,2019
Wardha,Desi,Aug,2019
Wardha,Other,Aug,2019
Wardha,H-4(A) 27mm FIne,Aug,2019
Wardha,LRA,Aug,2019
Wardha,N-44,Aug,2019
Wardha,DCH-32(Unginned),Aug,2019
Nagpur,Varaxmi,Aug,2019
Nagpur,Desi,Aug,2019
Nagpur,Other,Aug,2019
Nagpur,H-4(A) 27mm FIne,Aug,2019
Nagpur,LRA,Aug,2019
Nagpur,N-44,Aug,2019
Nagpur,DCH-32(Unginned),Aug,2019
Yavatmal,Varaxmi,Aug,2019
Yavatmal,Desi,Aug,2019
Yavatmal,Other,Aug,2019
Yavatmal,H-4(A) 27mm FIne,Aug,2019
Yavatmal,LRA,Aug,2019
Yavatmal,N-44,Aug,2019
Yavatmal,DCH-32(Unginned),Aug,2019
Chandrapur,Varaxmi,Aug,2019
Chandrapur,Desi,Aug,2019
Chandrapur,Other,Aug,2019
Chandrapur,H-4(A) 27mm FIne,Aug,2019
Chandrapur,LRA,Aug,2019
Chandrapur,N-44,Aug,2019
Chandrapur,DCH-32(Unginned),Aug,2019
Parbhani,Varaxmi,Aug,2019
Parbhani,Desi,Aug,2019
Parbhani,Other,Aug,2019
Parbhani,H-4(A) 27mm FIne,Aug,2019
Parbhani,LRA,Aug,2019
Parbhani,N-44,Aug,2019
Parbhani,DCH-32(Unginned),Aug,2019
Amarawati,Varaxmi,Aug,2019
Amarawati,Desi,Aug,2019
Amarawati,Other,Aug,2019
Amarawati,H-4(A) 27mm FIne,Aug,2019
Amarawati,LRA,Aug,2019
Amarawati,N-44,Aug,2019
Amarawati,DCH-32(Unginned),Aug,2019
Jalana,Varaxmi,Aug,2019
Jalana,Desi,Aug,2019
Jalana,Other,Aug,2019
Jalana,H-4(A) 27mm FIne,Aug,2019
Jalana,LRA,Aug,2019
Jalana,N-44,Aug,2019
Jalana,DCH-32(Unginned),Aug,2019
Beed,Varaxmi,Aug,2019
Beed,Desi,Aug,2019
Beed,Other,Aug,2019
Beed,H-4(A) 27mm FIne,Aug,2019
Beed,LRA,Aug,2019
Beed,N-44,Aug,2019
Beed,DCH-32(Unginned),Aug,2019
Buldhana,Varaxmi,Aug,2019
Buldhana,Desi,Aug,2019
Buldhana,Other,Aug,2019
Buldhana,H-4(A) 27mm FIne,Aug,2019
Buldhana,LRA,Aug,2019
Buldhana,N-44,Aug,2019
Buldhana,DCH-32(Unginned),Aug,2019
Nanded,Varaxmi,Aug,2019
Nanded,Desi,Aug,2019
Nanded,Other,Aug,2019
Nanded,H-4(A) 27mm FIne,Aug,2019
Nanded,LRA,Aug,2019
Nanded,N-44,Aug,2019
Nanded,DCH-32(Unginned),Aug,2019
Akola,Varaxmi,Aug,2019
Akola,Desi,Aug,2019
Akola,Other,Aug,2019
Akola,H-4(A) 27mm FIne,Aug,2019
Akola,LRA,Aug,2019
Akola,N-44,Aug,2019
Akola,DCH-32(Unginned),Aug,2019
Aurangabad,Varaxmi,Aug,2019
Aurangabad,Desi,Aug,2019
Aurangabad,Other,Aug,2019
Aurangabad,H-4(A) 27mm FIne,Aug,2019
Aurangabad,LRA,Aug,2019
Aurangabad,N-44,Aug,2019
Aurangabad,DCH-32(Unginned),Aug,2019
Wardha,Varaxmi,Sep,2019
Wardha,Desi,Sep,2019
Wardha,Other,Sep,2019
Wardha,H-4(A) 27mm FIne,Sep,2019
Wardha,LRA,Sep,2019
Wardha,N-44,Sep,2019
Wardha,DCH-32(Unginned),Sep,2019
Nagpur,Varaxmi,Sep,2019
Nagpur,Desi,Sep,2019
Nagpur,Other,Sep,2019
Nagpur,H-4(A) 27mm FIne,Sep,2019
Nagpur,LRA,Sep,2019
Nagpur,N-44,Sep,2019
Nagpur,DCH-32(Unginned),Sep,2019
Yavatmal,Varaxmi,Sep,2019
Yavatmal,Desi,Sep,2019
Yavatmal,Other,Sep,2019
Yavatmal,H-4(A) 27mm FIne,Sep,2019
