,District,Variety,Month,Year,Price
232,Nanded,Desi,Mar,2019,4218
233,Nanded,Other,Mar,2019,4215
234,Nanded,H-4(A) 27mm FIne,Mar,2019,4352
235,Nanded,LRA,Mar,2019,4225
236,Nanded,N-44,Mar,2019,4220
237,Nanded,DCH-32(Unginned),Mar,2019,4403
238,Akola,Varaxmi,Mar,2019,4426
239,Akola,Desi,Mar,2019,4624
240,Akola,Other,Mar,2019,4607
241,Akola,H-4(A) 27mm FIne,Mar,2019,4742
242,Akola,LRA,Mar,2019,4719
243,Akola,N-44,Mar,2019,4631
244,Akola,DCH-32(Unginned),Mar,2019,4457
245,Aurangabad,Varaxmi,Mar,2019,4763
246,Aurangabad,Desi,Mar,2019,4754
247,Aurangabad,Other,Mar,2019,4714
248,Aurangabad,H-4(A) 27mm FIne,Mar,2019,4776
249,Aurangabad,LRA,Mar,2019,4777
250,Aurangabad,N-44,Mar,2019,4753
251,Aurangabad,DCH-32(Unginned),Mar,2019,4490
252,Wardha,Varaxmi,Apr,2019,4496
253,Wardha,Desi,Apr,2019,4577
254,Wardha,Other,Apr,2019,4569
255,Wardha,H-4(A) 27mm FIne,Apr,2019,4756
256,Wardha,LRA,Apr,2019,4601
257,Wardha,N-44,Apr,2019,4580
258,Wardha,DCH-32(Unginned),Apr,2019,4524
259,Nagpur,Varaxmi,Apr,2019,4774
260,Nagpur,Desi,Apr,2019,4805
261,Nagpur,Other,Apr,2019,4786
262,Nagpur,H-4(A) 27mm FIne,Apr,2019,4768
263,Nagpur,LRA,Apr,2019,4879
264,Nagpur,N-44,Apr,2019,4804
265,Nagpur,DCH-32(Unginned),Apr,2019,4589
266,Yavatmal,Varaxmi,Apr,2019,4699
267,Yavatmal,Desi,Apr,2019,4660
268,Yavatmal,Other,Apr,2019,4649
269,Yavatmal,H-4(A) 27mm FIne,Apr,2019,4771
270,Yavatmal,LRA,Apr,2019,4636
271,Yavatmal,N-44,Apr,2019,4664
272,Yavatmal,DCH-32(Unginned),Apr,2019,4525
273,Chandrapur,Varaxmi,Apr,2019,4490
274,Chandrapur,Desi,Apr,2019,4593
275,Chandrapur,Other,Apr,2019,4590
276,Chandrapur,H-4(A) 27mm FIne,Apr,2019,4699
277,Chandrapur,LRA,Apr,2019,4598
278,Chandrapur,N-44,Apr,2019,4593
279,Chandrapur,DCH-32(Unginned),Apr,2019,4525
280,Parbhani,Varaxmi,Apr,2019,4850
281,Parbhani,Desi,Apr,2019,4800
282,Parbhani,Other,Apr,2019,4644
283,Parbhani,H-4(A) 27mm FIne,Apr,2019,4894
284,Parbhani,LRA,Apr,2019,4805
285,Parbhani,N-44,Apr,2019,4801
286,Parbhani,DCH-32(Unginned),Apr,2019,4565
287,Amarawati,Varaxmi,Apr,2019,4690
288,Amarawati,Desi,Apr,2019,4709
289,Amarawati,Other,Apr,2019,4685
290,Amarawati,H-4(A) 27mm FIne,Apr,2019,4796
291,Amarawati,LRA,Apr,2019,4727
292,Amarawati,N-44,Apr,2019,4716
293,Amarawati,DCH-32(Unginned),Apr,2019,4527
294,Jalana,Varaxmi,Apr,2019,4033
295,Jalana,Desi,Apr,2019,4054
296,Jalana,Other,Apr,2019,4054
297,Jalana,H-4(A) 27mm FIne,Apr,2019,4084
298,Jalana,LRA,Apr,2019,4054
299,Jalana,N-44,Apr,2019,4054
300,Jalana,DCH-32(Unginned),Apr,2019,4054
301,Beed,Varaxmi,Apr,2019,4686
302,Beed,Desi,Apr,2019,4701
303,Beed,Other,Apr,2019,4676
304,Beed,H-4(A) 27mm FIne,Apr,2019,4799
305,Beed,LRA,Apr,2019,4722
306,Beed,N-44,Apr,2019,4704
307,Beed,DCH-32(Unginned),Apr,2019,4527
308,Buldhana,Varaxmi,Apr,2019,4373
309,Buldhana,Desi,Apr,2019,4528
310,Buldhana,Other,Apr,2019,4524
311,Buldhana,H-4(A) 27mm FIne,Apr,2019,4920
312,Buldhana,LRA,Apr,2019,4534
313,Buldhana,N-44,Apr,2019,4527
314,Buldhana,DCH-32(Unginned),Apr,2019,4537
315,Nanded,Varaxmi,Apr,2019,4369
316,Nanded,Desi,Apr,2019,4419
317,Nanded,Other,Apr,2019,4416
318,Nanded,H-4(A) 27mm FIne,Apr,2019,4538
319,Nanded,LRA,Apr,2019,4425
320,Nanded,N-44,Apr,2019,4420
321,Nanded,DCH-32(Unginned),Apr,2019,4493
322,Akola,Varaxmi,Apr,2019,4480
323,Akola,Desi,Apr,2019,4648
324,Akola,Other,Apr,2019,4635
325,Akola,H-4(A) 27mm FIne,Apr,2019,4791
326,Akola,LRA,Apr,2019,4721
327,Akola,N-44,Apr,2019,4653
328,Akola,DCH-32(Unginned),Apr,2019,4524
329,Aurangabad,Varaxmi,Apr,2019,4801
330,Aurangabad,Desi,Apr,2019,4773
331,Aurangabad,Other,Apr,2019,4738
332,Aurangabad,H-4(A) 27mm FIne,Apr,2019,4817
333,Aurangabad,LRA,Apr,2019,4785
334,Aurangabad,N-44,Apr,2019,4774
335,Aurangabad,DCH-32(Unginned),Apr,2019,4546
336,Wardha,Varaxmi,May,2019,4496
337,Wardha,Desi,May,2019,4577
338,Wardha,Other,May,2019,4569
339,Wardha,H-4(A) 27mm FIne,May,2019,4756
340,Wardha,LRA,May,2019,4601
341,Wardha,N-44,May,2019,4580
342,Wardha,DCH-32(Unginned),May,2019,4524
343,Nagpur,Varaxmi,May,2019,4774
344,Nagpur,Desi,May,2019,4805
345,Nagpur,Other,May,2019,4786
346,Nagpur,H-4(A) 27mm FIne,May,2019,4768
347,Nagpur,LRA,May,2019,4879
348,Nagpur,N-44,May,2019,4804
349,Nagpur,DCH-32(Unginned),May,2019,4589
350,Yavatmal,Varaxmi,May,2019,4699
351,Yavatmal,Desi,May,2019,4660
352,Yavatmal,Other,May,2019,4649
353,Yavatmal,H-4(A) 27mm FIne,May,2019,4771
354,Yavatmal,LRA,May,2019,4636
355,Yavatmal,N-44,May,2019,4664
356,Yavatmal,DCH-32(Unginned),May,2019,4525
357,Chandrapur,Varaxmi,May,2019,4490
358,Chandrapur,Desi,May,2019,4593
359,Chandrapur,Other,May,2019,4590
360,Chandrapur,H-4(A) 27mm FIne,May,2019,4699
361,Chandrapur,LRA,May,2019,4598
362,Chandrapur,N-44,May,2019,4593
363,Chandrapur,DCH-32(Unginned),May,2019,4525
364,Parbhani,Varaxmi,May,2019,4850
365,Parbhani,Desi,May,2019,4800
366,Parbhani,Other,May,2019,4644
367,Parbhani,H-4(A) 27mm FIne,May,2019,4894
368,Parbhani,LRA,May,2019,4805
369,Parbhani,N-44,May,2019,4801
370,Parbhani,DCH-32(Unginned),May,2019,4565
371,Amarawati,Varaxmi,May,2019,4690
372,Amarawati,Desi,May,2019,4709
373,Amarawati,Other,May,2019,4685
374,Amarawati,H-4(A) 27mm FIne,May,2019,4796
375,Amarawati,LRA,May,2019,4727
376,Amarawati,N-44,May,2019,4716
377,Amarawati,DCH-32(Unginned),May,2019,4527
378,Jalana,Varaxmi,May,2019,4033
379,Jalana,Desi,May,2019,4054
380,Jalana,Other,May,2019,4054
381,Jalana,H-4(A) 27mm FIne,May,2019,4084
382,Jalana,LRA,May,2019,4054
383,Jalana,N-44,May,2019,4054
